seed=32
gen=129	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=130	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=131	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=132	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=133	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=134	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=135	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=136	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=137	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=138	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=139	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=140	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=141	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=142	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=143	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=144	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=145	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=146	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=147	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=148	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=149	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=150	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=151	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=152	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=153	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=154	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=155	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=156	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=157	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=158	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=159	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=160	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=161	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=162	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=163	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=164	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=165	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=166	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=167	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=168	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=169	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=170	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=171	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=172	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=173	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=174	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
gen=175	fitness=30.148364510059	position=[0.158071, -0.051142, -1.037124, -1.153213, 0.958909, -0.037875, 0.846279, 0.029619, -0.739878, 0.030696]
