seed=2
gen=283	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=284	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=285	fitness=0.000008424558	position=[3.007110, 0.501888]
gen=286	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=287	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=288	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=289	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=290	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=291	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=292	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=293	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=294	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=295	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=296	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=297	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=298	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=299	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=300	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=301	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=302	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=303	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=304	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=305	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=306	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=307	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=308	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=309	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=310	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=311	fitness=0.000007926268	position=[2.993501, 0.498163]
gen=312	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=313	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=314	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=315	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=316	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=317	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=318	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=319	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=320	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=321	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=322	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=323	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=324	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=325	fitness=0.000006834405	position=[2.993501, 0.498418]
gen=326	fitness=0.000006811603	position=[2.993501, 0.498395]
gen=327	fitness=0.000006811603	position=[2.993501, 0.498395]
gen=328	fitness=0.000006811603	position=[2.993501, 0.498395]
gen=329	fitness=0.000006811603	position=[2.993501, 0.498395]
gen=330	fitness=0.000006811603	position=[2.993501, 0.498395]
gen=331	fitness=0.000006811603	position=[2.993501, 0.498395]
gen=332	fitness=0.000006196722	position=[2.993878, 0.498395]
gen=333	fitness=0.000006196722	position=[2.993878, 0.498395]
gen=334	fitness=0.000006196722	position=[2.993878, 0.498395]
gen=335	fitness=0.000006196722	position=[2.993878, 0.498395]
gen=336	fitness=0.000006196722	position=[2.993878, 0.498395]
gen=337	fitness=0.000006196722	position=[2.993878, 0.498395]
gen=338	fitness=0.000005401095	position=[2.994406, 0.498484]
gen=339	fitness=0.000005401095	position=[2.994406, 0.498484]
gen=340	fitness=0.000005062545	position=[2.994406, 0.498578]
gen=341	fitness=0.000005062545	position=[2.994406, 0.498578]
gen=342	fitness=0.000004759003	position=[2.994987, 0.498578]
gen=343	fitness=0.000004759003	position=[2.994987, 0.498578]
gen=344	fitness=0.000004759003	position=[2.994987, 0.498578]
gen=345	fitness=0.000004759003	position=[2.994987, 0.498578]
gen=346	fitness=0.000004759003	position=[2.994987, 0.498578]
gen=347	fitness=0.000004302865	position=[2.994987, 0.498861]
gen=348	fitness=0.000004049601	position=[2.994987, 0.498770]
gen=349	fitness=0.000004049601	position=[2.994987, 0.498770]
gen=350	fitness=0.000004049601	position=[2.994987, 0.498770]
gen=351	fitness=0.000004049601	position=[2.994987, 0.498770]
gen=352	fitness=0.000004047089	position=[2.994987, 0.498766]
gen=353	fitness=0.000004047089	position=[2.994987, 0.498766]
gen=354	fitness=0.000004047089	position=[2.994987, 0.498766]
gen=355	fitness=0.000003567356	position=[2.995574, 0.498766]
gen=356	fitness=0.000003567356	position=[2.995574, 0.498766]
gen=357	fitness=0.000003567356	position=[2.995574, 0.498766]
