seed=7
gen=436	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=437	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=438	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=439	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=440	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=441	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=442	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=443	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=444	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=445	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=446	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=447	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=448	fitness=0.000000947191	position=[2.997697, 0.499364]
gen=449	fitness=0.000000947191	position=[2.997697, 0.499364]
