seed=23
gen=62	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=63	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=64	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=65	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=66	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=67	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=68	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=69	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=70	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=71	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=72	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=73	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=74	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=75	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=76	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=77	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
gen=78	fitness=7.017650874969	chromosome=0110011010110000011111100111110001111110001010010110100100000100100000001001011010000001000101000111111101101111100110010100011101111111111100101000000100110101	decoded=[-1.012437, -0.060548, -0.073517, -0.919311, 0.023516, 0.043204, -0.022578, 1.011187, -0.002109, 0.048360]
