seed=7
gen=134	fitness=17.676191420277	position=[1.945276, 0.967862, -0.008178, 1.000147, -1.009804, 0.979076, -0.023375, 1.993486, 0.993397, -1.994325]
gen=135	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=136	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=137	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=138	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=139	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=140	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=141	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=142	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=143	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=144	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=145	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=146	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=147	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=148	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=149	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=150	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=151	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=152	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=153	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=154	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=155	fitness=17.579253718368	position=[1.954898, 0.958152, 0.006952, 0.999866, -1.015681, 0.988472, -0.012737, 1.985129, 0.986867, -1.989964]
gen=156	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
gen=157	fitness=17.364030258681	position=[1.965887, 0.975910, 0.016282, 0.996540, -1.020865, 1.000042, -0.000754, 1.979385, 1.000236, -2.005068]
