seed=11
gen=131	fitness=8.587895851112	position=[-0.977500, 1.029018, 1.010884, 0.993177, -0.977324, -0.005940, -1.021512, -0.987407, -0.977374, -0.005759]
gen=132	fitness=8.481956044947	position=[-0.973768, 0.997507, 0.973276, 1.003647, -0.997810, -0.007163, -0.984014, -0.961554, -0.982546, 0.013895]
gen=133	fitness=8.481956044947	position=[-0.973768, 0.997507, 0.973276, 1.003647, -0.997810, -0.007163, -0.984014, -0.961554, -0.982546, 0.013895]
gen=134	fitness=8.481956044947	position=[-0.973768, 0.997507, 0.973276, 1.003647, -0.997810, -0.007163, -0.984014, -0.961554, -0.982546, 0.013895]
gen=135	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=136	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=137	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=138	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=139	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=140	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=141	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=142	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=143	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=144	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=145	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=146	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=147	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=148	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=149	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=150	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=151	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=152	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=153	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=154	fitness=8.405922091613	position=[-0.975671, 1.000537, 0.984548, 1.008499, -0.984326, 0.014441, -1.011263, -0.974587, -0.971617, 0.003510]
gen=155	fitness=8.300271480355	position=[-1.002195, 1.002282, 0.990515, 1.016098, -0.979768, -0.020663, -1.000235, -0.987844, -0.981606, 0.015222]
gen=156	fitness=8.300271480355	position=[-1.002195, 1.002282, 0.990515, 1.016098, -0.979768, -0.020663, -1.000235, -0.987844, -0.981606, 0.015222]
gen=157	fitness=8.300271480355	position=[-1.002195, 1.002282, 0.990515, 1.016098, -0.979768, -0.020663, -1.000235, -0.987844, -0.981606, 0.015222]
gen=158	fitness=8.300271480355	position=[-1.002195, 1.002282, 0.990515, 1.016098, -0.979768, -0.020663, -1.000235, -0.987844, -0.981606, 0.015222]
gen=159	fitness=8.300271480355	position=[-1.002195, 1.002282, 0.990515, 1.016098, -0.979768, -0.020663, -1.000235, -0.987844, -0.981606, 0.015222]
gen=160	fitness=8.300271480355	position=[-1.002195, 1.002282, 0.990515, 1.016098, -0.979768, -0.020663, -1.000235, -0.987844, -0.981606, 0.015222]
gen=161	fitness=8.300271480355	position=[-1.002195, 1.002282, 0.990515, 1.016098, -0.979768, -0.020663, -1.000235, -0.987844, -0.981606, 0.015222]
gen=162	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=163	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=164	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=165	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=166	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=167	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=168	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=169	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=170	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=171	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=172	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
gen=173	fitness=8.219737863723	position=[-0.991956, 0.999651, 0.984000, 1.010737, -0.979857, -0.000280, -1.006853, -0.983304, -0.978006, 0.010943]
