seed=10
gen=163	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=164	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=165	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=166	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=167	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=168	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=169	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=170	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=171	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=172	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
gen=173	fitness=25.079406049549	position=[-1.012260, -1.005271, -0.985956, 0.992717, 0.988782, -0.001547, -0.981105, 0.988307, -2.976161, -2.970911]
