seed=4
gen=82	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=83	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=84	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=85	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=86	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=87	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=88	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=89	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=90	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=91	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=92	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=93	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=94	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=95	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=96	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=97	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=98	fitness=14.479853552788	position=[-0.959338, -0.039848, -0.015739, -1.033439, -0.028615, 0.989906, -1.021525, -0.018062, -2.988370, -0.036697]
gen=99	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=100	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=101	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=102	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=103	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=104	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=105	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=106	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=107	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
gen=108	fitness=14.175137673273	position=[-0.978232, -0.059642, -0.005680, -1.013733, -0.027645, 0.989798, -1.002143, -0.026465, -2.963475, -0.009077]
