seed=9
gen=102	fitness=11.682267207416	position=[-1.020440, 0.067664, 0.972404, 1.024478, 1.955405, -0.995011, -0.002470, 1.070821, 0.011006, -0.015305]
gen=103	fitness=11.682267207416	position=[-1.020440, 0.067664, 0.972404, 1.024478, 1.955405, -0.995011, -0.002470, 1.070821, 0.011006, -0.015305]
gen=104	fitness=11.682267207416	position=[-1.020440, 0.067664, 0.972404, 1.024478, 1.955405, -0.995011, -0.002470, 1.070821, 0.011006, -0.015305]
gen=105	fitness=11.171272636260	position=[-1.047737, 0.058057, 0.963868, 0.998044, 1.964638, -0.946805, 0.006628, 1.018019, 0.024006, 0.004793]
gen=106	fitness=11.171272636260	position=[-1.047737, 0.058057, 0.963868, 0.998044, 1.964638, -0.946805, 0.006628, 1.018019, 0.024006, 0.004793]
gen=107	fitness=10.962859111085	position=[-1.038683, 0.054498, 0.970779, 1.007215, 1.958066, -0.953008, 0.002924, 1.031757, 0.020015, 0.006030]
gen=108	fitness=10.881162011256	position=[-1.043289, 0.054375, 0.955132, 1.004777, 1.969246, -0.953014, 0.008136, 1.015257, 0.002999, 0.011575]
gen=109	fitness=10.881162011256	position=[-1.043289, 0.054375, 0.955132, 1.004777, 1.969246, -0.953014, 0.008136, 1.015257, 0.002999, 0.011575]
gen=110	fitness=10.573390525057	position=[-1.029419, 0.042373, 0.951532, 0.989892, 1.968953, -0.954704, 0.021745, 1.021679, 0.008204, 0.000056]
gen=111	fitness=10.573390525057	position=[-1.029419, 0.042373, 0.951532, 0.989892, 1.968953, -0.954704, 0.021745, 1.021679, 0.008204, 0.000056]
gen=112	fitness=10.573390525057	position=[-1.029419, 0.042373, 0.951532, 0.989892, 1.968953, -0.954704, 0.021745, 1.021679, 0.008204, 0.000056]
gen=113	fitness=10.395907258445	position=[-0.992672, -0.010409, 0.998994, 0.967328, 1.995785, -0.997938, 0.072564, 1.002536, 0.023049, -0.023871]
gen=114	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=115	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=116	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=117	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=118	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=119	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=120	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=121	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=122	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=123	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=124	fitness=9.908440627076	position=[-1.017281, 0.035709, 0.967256, 0.993420, 1.980207, -0.971845, 0.032146, 1.015936, 0.013245, 0.001655]
gen=125	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=126	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=127	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=128	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=129	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=130	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=131	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=132	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=133	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=134	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=135	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=136	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=137	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=138	fitness=9.362291915359	position=[-0.983530, 0.006532, 0.974733, 1.013129, 1.978382, -1.002591, 0.013778, 1.013924, -0.001347, -0.020070]
gen=139	fitness=9.266677196782	position=[-0.998507, 0.009926, 0.979531, 1.008895, 1.983331, -0.991616, 0.015071, 1.012159, 0.008617, -0.019477]
gen=140	fitness=9.266677196782	position=[-0.998507, 0.009926, 0.979531, 1.008895, 1.983331, -0.991616, 0.015071, 1.012159, 0.008617, -0.019477]
gen=141	fitness=9.266677196782	position=[-0.998507, 0.009926, 0.979531, 1.008895, 1.983331, -0.991616, 0.015071, 1.012159, 0.008617, -0.019477]
gen=142	fitness=9.266677196782	position=[-0.998507, 0.009926, 0.979531, 1.008895, 1.983331, -0.991616, 0.015071, 1.012159, 0.008617, -0.019477]
gen=143	fitness=9.266677196782	position=[-0.998507, 0.009926, 0.979531, 1.008895, 1.983331, -0.991616, 0.015071, 1.012159, 0.008617, -0.019477]
gen=144	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=145	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=146	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=147	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=148	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=149	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=150	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=151	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=152	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=153	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=154	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=155	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=156	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=157	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=158	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=159	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=160	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=161	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=162	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=163	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=164	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=165	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=166	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=167	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=168	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=169	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=170	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=171	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=172	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
gen=173	fitness=9.255440012576	position=[-0.991481, 0.007274, 0.979147, 1.009647, 1.989697, -0.989882, 0.013554, 1.013371, 0.011523, -0.017478]
